3	33940
4	18534
5	13615
6	10951
7	8911
8	7517
9	6548
10	5436
11	4783
12	4261
13	3890
14	3453
15	3031
16	2897
17	2571
18	2397
19	2230
20	2047
21	1889
22	1718
23	1612
24	1545
25	1470
26	1405
27	1272
28	1305
29	1217
30	1187
31	1031
32	1003
33	949
34	930
35	849
36	797
37	801
38	783
39	741
40	715
41	684
42	652
43	622
44	605
45	567
46	567
47	551
48	539
49	524
50	543
51	474
52	488
53	454
54	450
55	417
56	440
57	382
58	382
59	414
60	362
61	357
62	348
63	344
64	323
65	315
66	308
67	310
68	294
69	292
70	281
71	269
72	250
73	260
74	256
75	260
76	237
77	283
78	213
79	234
80	203
81	225
82	231
83	204
84	194
85	186
86	218
87	201
88	174
89	207
90	172
91	184
92	173
93	175
94	182
95	148
96	169
97	135
98	173
99	149
100	132
101	138
102	130
103	140
104	160
105	150
106	111
107	122
108	143
109	115
110	118
111	127
112	118
113	128
114	118
115	121
116	102
117	93
118	107
119	88
120	114
121	109
122	106
123	96
124	104
125	108
126	107
127	80
128	91
129	71
130	89
131	93
132	87
133	85
134	74
135	94
136	90
137	91
138	64
139	91
140	94
141	78
142	68
143	81
144	72
145	67
146	56
147	69
148	70
149	65
150	69
151	59
152	66
153	68
154	86
155	61
156	75
157	70
158	58
159	55
160	56
161	60
162	55
163	61
164	64
165	53
166	53
167	57
168	65
169	52
170	52
171	62
172	42
173	52
174	54
175	39
176	45
177	52
178	57
179	38
180	44
181	45
182	55
183	41
184	51
185	40
186	36
187	53
188	41
189	40
190	39
191	48
192	28
193	30
194	37
195	54
196	40
197	40
198	35
199	35
200	36
201	28
202	41
203	35
204	35
205	24
206	31
207	34
208	38
209	27
210	34
211	29
212	33
213	34
214	44
215	30
216	30
217	24
218	37
219	30
220	37
221	26
222	27
223	27
224	38
225	27
226	24
227	18
228	30
229	30
230	21
231	35
232	28
233	31
234	34
235	34
236	31
237	26
238	29
239	17
240	28
241	20
242	22
243	29
244	24
245	17
246	25
247	22
248	23
249	22
250	11
251	25
252	24
253	16
254	20
255	19
256	23
257	15
258	32
259	25
260	23
261	16
262	16
263	22
264	25
265	19
266	28
267	23
268	22
269	19
270	11
271	26
272	22
273	31
274	24
275	18
276	17
277	16
278	22
279	20
280	20
